politician,name,bday,place,party,professions,type
Hannibal Hamlin,Hannibal Hamlin,August 27 1809,Paris ,Democratic,,Vice President
Thomas A. Hendricks,Thomas Andrews Hendricks,September 7 1819,Fultonham Ohio U.S.,Democratic,,Vice President
Garret Hobart,Garret Augustus Hobart,June 3 1844,Long Branch New Jersey U.S.,Republican,attorney - ,Vice President
Thomas Jefferson,Thomas Jefferson,April 13 1743,Shadwell ,Democratic-Republican,lawyer - ,President
Andrew Johnson,Andrew Johnson,December 29 1808,Raleigh North Carolina U.S.,Democratic,tailor - ,President
Richard Mentor Johnson,Richard Mentor Johnson,October 17 1780,VirginiaBeargrass ,Democratic-Republican,,Vice President
William R. King,William Rufus DeVane King,April 7 1786,Sampson County North Carolina U.S.,Democratic,,Vice President
Levi P. Morton,Levi Parsons Morton,May 16 1824,Shoreham Vermont U.S.,Republican,,Vice President
Adlai Stevenson,Adlai Ewing Stevenson,October 23 1835,Christian County Kentucky U.S.,Democratic,,Vice President
Daniel D. Tompkins,Daniel D. Tompkins,June 21 1774,Scarsdale ,Democratic-Republican,,Vice President
John Tyler,John Tyler,March 29 1790,Greenway Plantation ,Independent,lawyer - ,President
Martin Van Buren,Maarten van Buren,December 5 1782,Kinderhook New York U.S.,,lawyer - ,President
William A. Wheeler,William Almon Wheeler,June 30 1819,Malone New York U.S.,Republican,,Vice President
Henry Wilson,Jeremiah Jones Colbath,February 16 1812,Farmington New Hampshire U.S.,Whig,,Vice President
